ID,Name,Address,Style,Price,Hours, Special food, Suitable, Space, Characteristic, Longitude, Latitude, City 
20,Cơm Tấm Thuận Kiều - Thuận Kiều,"54 Thuận Kiều, P. 4, Q. 11",,40.000 - 80.000,06h00 - 21h00,"- Bò satsuma A5+ (dùng kèm bánh chanh vàng, cà chua, khoai tây nấu chậm trong mỡ bò Kobe, cà rốt nhỏ)
- Đùi vịt nấu chậm (dùng kèm khoai tây xào tỏi, húng quế, xà lách rocket, sốt mù tạt vàng)
- Cà chua lớn phô mai mozzarella (bánh tart nghìn lớp nhân cà chua, phô mai Mozzarella nhà làm, sốt quế, giấm balsamic, xà lách rocket)
- Súp vàng hải sản kiểu Pháp (Nhụy hoa nghệ tây, cá mú , sò điệp, mực, sốt Aioli)
- Mỳ Ý đen nhà làm (dùng kèm sò điệp, tôm sú biển, vẹm, sốt tôm)
- Súp phở bào ngư gan ngỗng
- Salad trái cây – kem trà xanh bạc hà – bánh quy
- Lưỡi bò","Tất cả khách hàng, gia đình, bạn bè, tiếp khách, sinh nhật...","Phong cách Âu, sang trọng, ấm áp","- Nhà hàng Kobe Bistro do đầu bếp nổi tiếng David Thai làm đầu bếp trưởng. Ông là một chuyên gia về ẩm thực Pháp đương đại. Phong cách đặc trưng của ông là sự pha trộn 2 nền ẩm thực Đông và Tây.
- Món ăn mang hương vị khác biệt và không gian sang trọng, ấm áp đặc trưng tại Kobe Bistro sẽ là một lựa chọn hoàn hảo, ghi dấu ấn khó phai cho bữa tiệc của bạn.",106.658836,10.759151,
46,Lion City - Đông Du,"Số 41-47 Đông Du, P. Bến Nghé, Q. 1",,150.000 - 350.000,10h30 – 21h30,"Sashimi, Sushi, Tempura, Món nướng Yaki kiểu Nhật, Mì Udon…","Tiếp khách, tiệc công tu, gia đình, họp nhóm, sinh nhật…",Phong cách Nhật Bản,"- Vị trí đắc địa trung tâm quận 1, không gian Nhật Bản ấm cúng, có máy lạnh.
- Món ăn mang hương vị chuẩn Nhật, giá thành hợp lý.",106.704645,10.775776,
21,Cơm Tấm Thuận Kiều - Tôn Thất Tùng,"26 Tôn Thất Tùng, P. Bến Thành, Q. 1",,40.000 - 80.000,06h00 - 21h00,"Lẩu riêu cá chép, Xôi 79, Sườn bò 79, Gỏi sò huyết ốc tương, Bào ngư sốt nấm đông cô và dầu hào, Miến cua tay cầm, Set 79 Sashimi, Lẩu Samurai 79…","Gặp gỡ đối tác, liên hoan, tiệc công ty, tụ họp bạn bè, gia đình, sinh nhật",Xe ô tô: Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),"Với thương hiệu gần 12 năm gây dựng, Phố 79 mang tới những trải nghiệm ẩm thực cao cấp, đậm dấu ấn riêng cùng kiến trúc không gian sang trọng, góp phần tạo nên thành công cho mỗi bữa tiệc đẳng cấp của khách hàng.",106.689293,10.769822,
22,Cuốn Saigon - Nguyễn Thị Minh Khai,"137/1 NguyễnThị Minh Khai, P. BếnThành, Q. 1",,80.000 – 200.000,10h00  – 21h30,"Thịt heo hai đầu da cuốn, Bún mắm nêm, Bánh bèo chén, Bánh đúc nóng...","Gia đình, bạn bè, họp nhóm...",Phong cách tối giản - bán cổ điển,"Điểm đặc trưng: Quán Cuốn Saigon chuyên món cuốn, đặc biệt là các món cuốn mang hương vị miền Trung.",106.687798,10.771471,
23,D’Maris - An Phú,"Tầng 6, Tòa nhà Cantavil Premier, Số 1 Song Hành, Xa Lộ Hà Nội, P. An Phú, Q. 2",,440.000 - 590.000,T2 – T6: 11h30 – 22h00 và  T7 – CN:  11h00 – 22h00,"Steak, Hải sản, Sushi, Bakery…","Đặt tiệc, liên hoan, gia đình, bạn bè, sinh nhật…","Phong cách Âu, sang trọng","- Thương hiệu buffet quốc tế cao cấp D’Maris ra đời năm 2007 tại Hàn Quốc. Có mặt lần đầu tại TPHCM năm 2016 & Hà Nội năm 2018.
- Mỗi chi nhánh đều sở hữu quy mô hơn 3000 m2 cùng hơn 200 món ăn vô cùng đa dạng đến từ khắp nơi trên thế giới.",106.746953,10.801467,
24,Dê Hương Sơn Quán,"81/1 Đường 12, P. Bình An, Q. 2",,150.000 – 250.000,"10h:30 - 13h:30, 17h:30 - 20h:30",- Không gian truyền thống đầy màu sắc đậm chất làng chài cổ Nhật Bản,KHÔNG GIAN:,,,106.731369,10.789007,
25,DOIDEP Không Thể Thiếu Nhau - Nguyễn Du,"Số 104 Nguyễn Du, P. Bến Nghé, Q. 1",,100.000 –200.000,07h00 – 22h00,"Trà Oloong, Cà phê Syphon (Sử dụng cà phê chồn để pha), Cà phê đặc biệt DoiDep, Sinh tố D&D; Phở Đông Trùng Hạ Thảo, Bún bò Huế O Rớt, Bánh mì bò kho, Bánh ướt thịt nướng...","Gặp gỡ, trao đổi (giới doanh nhân, văn phòng, bạn bè, gia đình), offline hội nhóm...","Sang trọng, yên tĩnh kết hợp không gian xanh thư giãn","- DOIDEP - Không Thể Thiếu Nhau là mô hình quán trà - cafe kết hợp phục vụ các món điểm tâm nhẹ nhàng.
- Với nền tảng vững mạnh về trà và café tại Lâm Đồng, và bây giờ, DOIDEP tiếp tục chia sẻ cuộc hành trình của mình đến với quý khách yêu trà, café tại Sài Gòn thông qua cơ sở tại 104 Nguyễn Du, quận 1.",106.697980,10.776947,
26,Dynasty House - Hongkong Dimsum & Hotpot - Đồng Khởi,"Số 2-4-6 Đồng Khởi, P. Bến Nghé, Q. 1",,200.000 - 500.000,T2 - T6: 10h30 - 14hh30 & 17h00 - 22h00 và T7 – CN: 09h30 – 14h30 & 17h00 - 22h00,"Lẩu xí quách thượng hạng, Lẩu sụn vi cá, Lẩu Satay, Lẩu Mala, Sủi cảo vi cá hầm thượng canh, Hoành thánh sốt cay kiểu Tứ Xuyên, Bào ngư Hải sâm hầm sốt đặc biệt, Canh sụn Cá mập, Bóng cá hầm vi cá trung…","Khách hàng doanh nhân, gia đình, công ty, cặp đôi…","Phong cách Hong Kong, sang trọng","Kế thừa những tinh hoa ẩm thực xứ Hương Cảng, Dynasty House mang đến thực đơn mang hương vị biến tấu độc đáo, cùng lối kiến trúc Hong Kong truyền thống giao thoa hiện đại đầy khác biệt giữa lòng Sài Gòn.",106.705788,10.773702,
52,Moo Beef Steak - Lý Tự Trọng,"Số 109 Lý Tự Trọng, P. Bến Thành, Q. 1",,350.000 - 500.000,10h00 - 14h00 & 17h00 - 22h00,Nạc vai ngoại bò Mỹ; Sườn bò Mỹ rút xương; Thịt thăn chuột bò Mỹ; Sườn cừu nướng ăn kèm khoai tây nghiền & sốt nho; Cá hồi nướng với sốt bơ chanh và khoai tây nghiền; Gà nướng ăn kèm sốt xả và khoai tây nghiền;…,"Tiếp khách, tụ họp, gặp mặt, gia đình...","Sang trọng, hiện đại","Nguồn thịt bò nhập khẩu trực tiếp từ các thương hiệu uy tín hàng đầu như Tyson và Omaha (Mỹ), Mulwarra (Úc), Hitachi (Nhật)...",106.697562,10.774179,
27,FIREWORKS Raw - Grill & Craft Bar - Nam Kỳ Khởi Nghĩa,"Số 61 Nam Kỳ Khởi Nghĩa, P. Bến Thành, Q.1",,300.000 - 600.000,16h00 - 01h00,"Tôm Lửa Hồng; Ba Rọi Heo Sả Tắc; Giò heo xông khói; Dẻ sườn bò Mỹ sốt cay; Hàu Hạ Long Nướng Phô Mai; Combo Ba Gác; Bánh Đa Xào Bò; Lẩu Măng Chua Cá Tầm; Bò Mỹ Nướng Ống Tre; Gà Nướng Tây Bắc Lên Mâm,…","Đặt tiệc, gặp mặt, liên hoan, họp nhóm, gia đình,…","Không gian mở, thoáng","BA GÁC là nhà hàng nướng và bia Việt Nam đương đại với sự giao thoa giữa ẩm thực nướng đặc trưng, các hoạt động văn nghệ và không gian sân vườn rộng rãi tạo nên trải nghiệm độc đáo “đậm chất BA GÁC”.
Đến BA GÁC để gác ba điều:
- Gác âu lo
- Gác muộn phiền
- Gác vai nhau, vui sau giờ làm",106.700513,10.771845,
28,Firkin Bar - Mạc Thị Bưởi,"Số 20 Mạc Thị Bưởi, P. Bến Nghé, Q. 1",,200.000 – 400.000,16h00 - 24h00,"Các loại rượu Whisk(e)y từ khắp thế giới, cocktails sáng tạo, cigars, các món snack nhẹ như Các loại phô mai; Các loại thịt nguội xông khói; Da heo chiên giòn dùng kèm sốt chili mayo; Trứng hồng đào bọc thịt heo, nấm Truffle đen…","Tụ họp bạn bè, cặp đôi, liên hoan, sinh nhật,…",Hiện đại,"- Firkin Bar với phong cách lịch lãm và hiện đại mang đến danh sách đồ uống ấn tượng được tạo nên bởi các bartender chuyên nghiệp, đặc biệt là các loại Whisk(e)y; kết hợp cùng những món Âu nhẹ nhàng, tinh tế sẽ là những gợi ý hoàn hảo không thể bỏ qua.",106.705121,10.775846,
91,Shamoji Robata Yaki – Đồng Khởi,"Số 08 Đồng Khởi, P. Bến Nghé, Q. 1",,500.000 - 700.000,10h30 - 14h00 & 17h00 - 23h59,- Không gian truyền thống đầy màu sắc đậm chất làng chài cổ Nhật Bản,KHÔNG GIAN:,,,106.705094,10.774264,
29,Ghiền Quán - Hoàng Sa,"209 Hoàng Sa, P. Tân Định, Q. 1",,200.000 - 300.000,15h00 - 02h00,"Gỏi bò quán Ghiền, Gỏi ếch rau rừng,Đậu hủ trứng chà bông bắc thảo,Pate Nhum Ghiền,Sườn cây BBQ,Trâu gác bếp, Sườn bò hầm ớt kiểu Thái, Combo Hải Sản sống sốt Thái,...","KH văn phòng, bạn bè, cặp đôi,...",Không gian rộng rãi,"- Tổ chức tiệc decor miễn phí, không gian lầu chứa được >50ng
- Món ăn độc đáo với cách chế biến riêng của đầu bếp
- Nguyên liệu tươi ngon
- Giá cả hợp lý cho khu vực trung tâm Q.1, Q.3
- Nhà hàng có band nhạc Acoutics vào thứ 3 và thứ 6",106.690074,10.795232,
30,Gyu-Kaku – Aeon Mall Tân Phú,"RF26 tầng 1 Aeon Mall Celadon Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ, Q. Tân Phú",,200.000 - 350.000,10h30 -  21h00,Bò Wagyu nướng; Ba chỉ bò Mỹ; Sườn bò có xương; Tôm; Mực; Bạch tuộc; Sườn bò đế vương tuyệt hảo; Lẩu chua cay; Lẩu Trường Xuân; Lẩu kim chi; Lẩu Sukiyaki…,"Sinh nhật, họp mặt, bạn bè, gia đình, liên hoan…",Nhật Bản hiện đại,"Gyu-Kaku được thành lập bởi tập đoàn COLOWIDE, hiện là một trong những thương hiệu nhà hàng BBQ lớn nhất với hơn 700 nhà hàng tại Nhật Bản cùng hơn 2000 nhà hàng trải khắp 14 quốc gia khác nhau trên thế giới.",106.617116,10.801336,
31,Gyu-Kaku - Lê Thánh Tôn,"Số 15/7 Lê Thánh Tôn, P. Bến Nghé, Q.1, Tp.HCM",,250.000 - 600.000,"T2 - T6: 11h00 - 13h00 & 17h00 - 21h00 & T7, CN: 11h00 - 21h00","Bò Wagyu, Sườn bò Gyu-Kaku, Sườn bò Mỹ Rồng, Diềm thăn bò Mỹ Đế Vương, Hải sản, Lẩu Gyu-Kaku…","Liên hoan, họp mặt, gia đình, bạn bè, sinh nhật…",Nhật Bản hiện đại,"Gyu-Kaku được thành lập bởi tập đoàn COLOWIDE, hiện là một trong những thương hiệu nhà hàng BBQ lớn nhất với hơn 700 nhà hàng tại Nhật Bản cùng hơn 2000 nhà hàng trải khắp 14 quốc gia khác nhau trên thế giới.",106.705843,10.781644,
32,Gyu Shige Ngưu Phồn - Đông Du,"Số 48-50 Đông Du, phường Bến Nghé, Quận 1",,200.000 - 300.000,10h30 – 21h30,"Sụn gà hoàng kim, Cơm chiên kiểu King, Ức vịt sốt chua ngọt, Tôm chiên hoàng bào, Miến xào thịt cua tôm...","Họp mặt, sinh nhật, liên hoan,...","Phong cách hoàng gia, sang trọng","- Đa dạng ngôn ngữ và phong phú về số lượng bài hát
- Hệ thống âm thanh đạt chuẩn quốc tế",106.704751,10.776435,
33,Gyu Shige Ngưu Phồn - Trần Hưng Đạo,"6A Trần Hưng Đạo, P. Phạm Ngũ Lão, Quận 1",,200.000 - 300.000,11h00 - 22h00,"Dẻ sườn bò bản lớn, Sườn bò không xương, Sườn heo bản lớn sốt Yuzu, Tôm càng sốt trứng cá tuyết, Thăn heo Iberico cao cấp, Lưỡi bò cao cấp, Lưỡi bò hoa sốt Yuzu, Sò điệp Hokkaido nướng giấy bạc…","Đặt tiệc, tiếp khách, gia đình, bạn bè, sinh nhật...",Nhật Bản. Hiện đại,"Chuỗi nhà hàng nướng Ngưu Phồn - Gyu Shige với hơn 150 chi nhánh đến từ Nhật Bản - Là nhà hàng nướng thuần Nhật, các nguyên liệu tại Gyu Shige được nhập khẩu từ chính đất nước này.",106.696211,10.769361,
34,Happy Lamb Hotpot Restaurant - Trần Hưng Đạo,"Số 329 đường Trần Hưng Đạo, P. Cô Giang, Q. 1",,500.000 - 600.000,11h00 - 02h00 sáng hôm sau ,"Lẩu 2 ngăn, chả cừu ngò rí viên, thịt xiên nướng Mông Cổ, đùi cừu nướng Mông Cổ, cừu nướng nguyên con, bánh hoàng kim, sủi cảo thịt cừu, set mì tươi...","Tất cả các loại tiệc, khách hàng văn phòng, gia đình...","Hiện đại, sang trọng ","- Happy Lamb Hotpot Restaurant là thương hiệu ẩm thực nổi tiếng đến từ Mông Cổ với hơn 100 chi nhánh tại các quốc gia: Trung Quốc, Campuchia, Mỹ... Nhà hàng Happy Lamb Hotpot Restaurant Trần Hưng Đạo là chi nhánh đầu tiên có mặt ở Việt Nam. 
- Nhà hàng chuyên phục vụ gọi món Lẩu Trung Hoa và các món ăn từ thịt cừu độc đáo theo phong cách Mông Cổ.",106.690252,10.761841,
36,Hội An Garden – Trần Quốc Toản,"Số 72/1, đường Trần Quốc Toản, Phường 08, Quận 3",,250.000 – 350.000,10h00 – 22h00,- Không gian truyền thống đầy màu sắc đậm chất làng chài cổ Nhật Bản,KHÔNG GIAN:,,,106.687719,10.787545,
53,Mr Beer - Bùi Thị Xuân,"Số 56 - 58 Bùi Thị Xuân, P. Bến Thành, Q. 1",,200.000 - 500.000,10h30 – 23h00,"Steak (Bò Mỹ thượng hạng, Bò Wagyu Úc, Bò New Zealand, Bò Nhật), Vẹm New Zealand đút lò, Sườn heo nguyên bẹ sốt Thái, Vây cá hồi cháy tỏi…","Hội họp, gặp gỡ, giao lưu, tiếp khách…","Không gian mở, hiện đại",- Nguyên liệu bò nhập khẩu cao cấp.,106.689804,10.771381,
